0.002509	3.66E+05
0.002883	2.75E+05
0.003321	1.78E+05
0.003824	1.15E+05
0.004404	8.12E+04
0.005071	5.70E+04
0.005841	3.68E+04
0.006726	2.70E+04
0.007745	1.96E+04
0.008918	1.42E+04
0.010268	1.09E+04
0.011825	7.66E+03
0.013616	5.61E+03
0.015679	4.17E+03
0.018053	3.15E+03
0.020787	2.41E+03
0.023933	1.94E+03
0.027557	1.47E+03
0.031726	1.24E+03
0.036529	9.73E+02
0.04206	7.39E+02
0.048432	5.47E+02
0.055772	3.83E+02
0.064227	2.66E+02
0.073968	1.75E+02
0.085191	1.11E+02
0.098121	6.81E+01
0.108799	4.49E+01
0.1228	3.06E+01
0.134214	1.92E+01
0.151746	1.21E+01
0.173505	7.37E+00
0.191033	4.60E+00
0.213875	3.17E+00
0.241364	2.09E+00
0.270728	1.41E+00
0.309356	9.55E-01
